tag,game_count,median_owner_mid,median_price,median_review_count,median_positive_rate_30plus,median_revenue_proxy
Kickstarter,136,75000.0,14.99,878.0,82.43352399900522,955500.0
Touch-Friendly,171,35000.0,4.99,198.0,88.16526610644257,139650.0
Sequel,111,35000.0,5.99,130.0,86.48648648648648,149900.0
Moddable,471,35000.0,12.99,247.0,86.33515559293524,349650.0
Episodic,90,35000.0,5.99,112.5,85.97560975609755,129900.0
Villain Protagonist,145,35000.0,8.99,328.0,85.11089218397166,199899.99999999997
Lovecraftian,536,35000.0,6.99,53.5,84.3462184520429,149900.0
Conspiracy,358,35000.0,4.995,18.0,83.48484848484848,129900.0
Cold War,130,35000.0,5.49,46.0,82.97176960970064,139650.0
Steampunk,316,35000.0,9.99,73.0,82.55451713395638,199899.99999999997
Turn-Based,1144,35000.0,9.99,141.0,80.8695652173913,244650.0
Illuminati,188,35000.0,4.99,88.5,80.46604660466046,99900.0
Diplomacy,120,35000.0,9.99,130.5,79.82062780269058,249899.99999999997
Real-Time with Pause,165,35000.0,9.99,108.0,78.37837837837837,174650.0
Mars,119,35000.0,9.99,24.0,77.57774140752865,149250.0
4X,211,35000.0,11.99,115.0,75.40584415584416,299900.0
Sokoban,451,10000.0,4.99,16.0,94.5945945945946,49900.0
Wholesome,308,10000.0,4.99,52.5,93.33333333333333,49900.0
Cozy,428,10000.0,4.99,42.0,92.73927392739274,59900.0
Cats,766,10000.0,3.99,27.0,92.27110582639715,49900.0
LGBTQ+,939,10000.0,6.99,70.0,90.14084507042254,99900.0
Narrative,265,10000.0,9.99,85.0,90.0888265544647,149900.0
Foreign,122,10000.0,5.49,18.0,90.04132231404958,59900.0
Collectathon,1052,10000.0,4.99,16.5,90.0,49900.0
Boomer Shooter,196,10000.0,9.99,62.0,89.89878777007513,149900.0
Time Attack,239,10000.0,4.99,25.0,89.70588235294117,49900.0
Programming,290,10000.0,7.99,30.5,89.60055347194407,99900.0
Grid-Based Movement,738,10000.0,4.99,15.0,89.54128440366974,69775.0
Unforgiving,120,10000.0,4.99,24.5,89.18128654970761,54900.0
Nostalgia,94,10000.0,8.865,71.0,89.16493560448691,129900.0
Conversation,1049,10000.0,5.99,23.0,88.88888888888889,84900.0
Philosophical,597,10000.0,4.99,23.0,88.88888888888889,59900.0
Faith,261,10000.0,5.0,34.0,88.45499645641388,69900.0
Chess,98,10000.0,4.99,35.5,88.27160493827161,69775.0
Dog,324,10000.0,4.99,23.0,88.26115485564304,59900.0
Dark Comedy,571,10000.0,4.99,36.0,88.23529411764706,99900.0
Addictive,236,10000.0,4.99,49.5,88.11881188118812,69900.0
Solitaire,371,10000.0,3.99,15.0,88.07737860244768,49900.0
Party Game,282,10000.0,7.99,35.5,87.87878787878788,99900.0
Satire,325,10000.0,4.99,31.0,87.86277570953925,69900.0
Dark Humor,1176,10000.0,4.99,42.0,87.84676354029062,83650.0
Design & Illustration,294,10000.0,4.99,21.0,87.76290630975143,49900.0
Level Editor,786,10000.0,7.99,31.0,87.72984143049932,99900.0
Minigames,192,10000.0,4.99,25.0,87.67605633802818,49900.0
Word Game,523,10000.0,3.99,23.0,87.53063099857056,59900.0
Creature Collector,603,10000.0,4.99,22.0,87.5,49900.0
Parkour,769,10000.0,4.99,15.0,87.5,59900.0
Parody,442,10000.0,4.99,33.0,87.46859296482413,69775.0
Comic Book,834,10000.0,5.99,21.0,87.45070422535211,79900.0
Party,205,10000.0,9.99,29.0,87.27941176470588,99900.0
Nonlinear,953,10000.0,5.99,22.0,87.09677419354838,89900.0
Tutorial,883,10000.0,4.99,11.0,87.09430756159728,59900.0
Dating Sim,1031,10000.0,6.24,75.0,87.06130152911891,99900.0
Snow,203,10000.0,4.99,16.0,87.05035971223022,49900.0
Psychedelic,1082,10000.0,4.99,23.0,87.03703703703704,59900.0
Typing,238,10000.0,4.99,14.5,86.96461824953445,49900.0
Transhumanism,92,10000.0,6.995,39.0,86.95652173913044,144075.0
Mouse only,373,10000.0,3.24,39.0,86.92307692307692,49900.0
Jet,101,10000.0,4.99,15.0,86.81466055580925,59900.0
Time Manipulation,384,10000.0,5.99,18.5,86.64855072463769,79900.0
Hacking,265,10000.0,8.99,44.0,86.56964656964658,99900.0
Time Travel,287,10000.0,6.99,29.0,86.56716417910447,99900.0
Rhythm,685,10000.0,5.99,24.0,86.29578630257426,99900.0
Soundtrack,585,10000.0,7.99,40.0,86.29032258064517,99900.0
Split Screen,460,10000.0,7.99,27.0,86.19566363607187,99900.0
Dystopian,742,10000.0,6.99,26.5,86.13861386138613,129900.0
Underwater,291,10000.0,6.99,28.0,86.13842298052825,89900.0
Lore-Rich,900,10000.0,7.99,28.0,86.1271676300578,104650.00000000001
Remake,151,10000.0,8.99,59.0,85.91870456047587,104650.00000000001
Cooking,408,10000.0,8.190000000000001,34.0,85.87570621468926,99900.0
Traditional Roguelike,243,10000.0,4.99,21.0,85.87341772151899,69900.0
Tabletop,987,10000.0,4.39,16.0,85.8267716535433,49900.0
Ninja,284,10000.0,5.99,21.0,85.8026874115983,79900.0
Detective,1174,10000.0,5.99,35.0,85.61643835616438,104650.00000000001
Spaceships,104,10000.0,5.99,19.0,85.54913294797689,97900.0
Superhero,171,10000.0,5.99,18.0,85.49019607843137,89900.0
Escape Room,278,10000.0,4.99,40.0,85.48619521393202,79900.0
Transportation,224,10000.0,8.99,25.5,85.40407920930394,99900.0
Utilities,150,10000.0,4.99,16.0,85.2979864104116,49900.0
Short,1222,10000.0,2.99,70.0,85.28138528138528,49950.0
Fishing,257,10000.0,7.99,43.0,85.22582143271799,99900.0
Otome,243,10000.0,7.99,42.0,85.1465978240826,99900.0
Supernatural,1124,10000.0,4.99,22.5,85.08028448971986,79900.0
Destruction,629,10000.0,5.99,26.0,85.03999689344516,99900.0
Game Development,162,10000.0,5.49,18.0,84.96503496503497,99900.0
Music,772,10000.0,5.99,39.0,84.94186046511628,99900.0
Asynchronous Multiplayer,172,10000.0,8.99,24.5,84.88372093023256,99900.0
Music-Based Procedural Generation,153,10000.0,6.99,22.0,84.88372093023256,99900.0
Roguelike Deckbuilder,273,10000.0,9.99,89.0,84.88372093023256,119900.0
2D Fighter,702,10000.0,4.99,12.0,84.84848484848484,69950.0
Noir,506,10000.0,4.99,32.5,84.70079960859272,104650.00000000001
Dynamic Narration,275,10000.0,5.99,27.0,84.61538461538461,99900.0
Spelling,140,10000.0,3.99,11.5,84.59538479651505,49900.0
4 Player Local,1037,10000.0,8.99,26.0,84.54907161803713,99900.0
Gothic,346,10000.0,5.99,30.5,84.546640214556,104650.00000000001
Underground,371,10000.0,4.99,16.0,84.4311377245509,59900.0
e-sports,315,10000.0,7.99,23.0,84.42460317460316,99900.0
Alternate History,608,10000.0,6.99,25.5,84.2809364548495,119900.0
Deckbuilding,739,10000.0,8.99,33.0,84.26892750303801,99900.0
Artificial Intelligence,741,10000.0,5.99,16.0,84.19089033384782,99900.0
Beautiful,417,10000.0,5.99,67.0,84.12698412698413,99900.0
Twin Stick Shooter,834,10000.0,5.1899999999999995,27.0,84.12664615960108,99900.0
Gambling,131,10000.0,4.99,11.0,84.10043232457599,49900.0
Memes,1040,10000.0,3.99,114.0,84.02898550724638,69900.0
Board Game,1029,10000.0,4.99,19.0,83.96946564885496,69900.0
Party-Based RPG,649,10000.0,9.99,30.0,83.96428571428572,169899.99999999997
Bullet Time,447,10000.0,4.99,14.0,83.92712550607287,69900.0
Automation,541,10000.0,6.99,34.0,83.92021669539523,99900.0
Runner,1069,10000.0,2.99,11.0,83.87096774193549,42000.0
Cyberpunk,1103,10000.0,6.99,26.0,83.86638237384506,104650.00000000001
Metroidvania,925,10000.0,8.99,42.0,83.84824334787633,119900.0
Software,181,10000.0,4.99,10.0,83.82737576285965,59900.0
America,328,10000.0,4.99,17.0,83.7722185648453,99900.0
Robots,1145,10000.0,5.99,17.0,83.76305753606368,99900.0
Experimental,828,10000.0,4.99,29.5,83.75981161695448,69900.0
Time Management,1070,10000.0,5.99,22.0,83.73652410542998,69900.0
Science,468,10000.0,6.99,24.0,83.72093023255815,99900.0
Quick-Time Events,342,10000.0,2.99,10.0,83.6829366680113,39900.0
Co-op Campaign,337,10000.0,9.99,45.0,83.62504431052818,149900.0
Gun Customization,368,10000.0,6.49,19.0,83.53174603174604,99900.0
Classic,367,10000.0,4.99,103.0,83.4862385321101,104650.00000000001
Modern,753,10000.0,4.99,19.0,83.45864661654136,69900.0
Archery,178,10000.0,6.99,15.5,83.38853552590754,89900.0
Competitive,512,10000.0,7.99,40.0,83.37837837837839,104650.00000000001
Assassin,201,10000.0,4.99,18.0,83.33333333333334,79900.0
Pirates,282,10000.0,6.99,24.5,83.33333333333334,99900.0
Spectacle fighter,381,10000.0,4.99,21.0,83.33333333333334,69900.0
Trivia,202,10000.0,4.99,16.0,83.3152664859982,49900.0
Mechs,326,10000.0,8.99,51.0,83.30090791180285,160750.0
Blood,346,10000.0,5.99,76.0,83.22759714512293,100150.0
Card Game,1141,10000.0,6.99,23.0,83.14606741573034,79900.0
Arena Shooter,1073,10000.0,4.99,15.0,83.12223171963633,69900.0
Vehicular Combat,384,10000.0,5.99,15.0,83.06451612903226,79900.0
Card Battler,571,10000.0,8.99,29.0,83.0532869192663,99900.0
On-Rails Shooter,186,10000.0,4.99,17.5,83.03030303030303,79900.0
Mythology,605,10000.0,7.99,28.0,82.98764158946125,119900.0
Werewolves,107,10000.0,4.99,31.0,82.96812749003985,99900.0
Souls-like,781,10000.0,6.99,31.0,82.93109506772298,99900.0
Agriculture,382,10000.0,8.99,33.0,82.92682926829268,99900.0
Martial Arts,314,10000.0,7.99,32.0,82.92443572129538,99900.0
Politics,194,10000.0,5.99,63.0,82.9195034040849,125400.0
Jump Scare,84,10000.0,4.99,44.5,82.9124189063948,49900.0
Political,290,10000.0,6.99,49.0,82.89473684210526,119900.0
Class-Based,343,10000.0,7.99,22.0,82.88288288288288,99900.0
CRPG,601,10000.0,7.99,23.0,82.7972027972028,129900.0
Combat Racing,337,10000.0,4.99,17.0,82.78688524590164,69900.0
Crime,599,10000.0,5.99,29.0,82.69537480063795,99900.0
Trains,163,10000.0,9.99,75.0,82.65895953757226,149900.0
Immersive,209,10000.0,6.99,26.0,82.57351998128993,89900.0
Voxel,416,10000.0,6.99,24.0,82.51350524077796,99900.0
Naval Combat,102,10000.0,9.99,68.5,82.45614035087719,102275.0
Capitalism,493,10000.0,6.99,31.0,82.45033112582782,99900.0
Animation & Modeling,81,10000.0,4.99,13.0,82.40394008466298,59900.0
Heist,123,10000.0,7.99,33.0,82.35294117647058,149900.0
NSFW,441,10000.0,4.99,136.0,82.25258699908107,99900.0
Beat 'em up,854,10000.0,6.99,21.0,82.14285714285714,99900.0
Historical,1114,10000.0,7.99,45.0,82.12089160496728,109900.0
Action RTS,243,10000.0,7.99,15.0,82.10653753026635,99900.0
Flight,814,10000.0,5.76,19.0,82.05128205128204,89900.0
Life Sim,1227,10000.0,7.36,43.0,81.9535702300663,89900.0
Swordplay,453,10000.0,7.99,29.0,81.87633262260128,99900.0
Roguevania,101,10000.0,7.99,20.0,81.85683988641821,99900.0
Aliens,1149,10000.0,4.99,13.0,81.83391003460207,79900.0
Golf,112,10000.0,4.99,18.0,81.83023872679044,59900.0
FMV,258,10000.0,5.99,53.5,81.76795580110497,99900.0
Hex Grid,278,10000.0,7.99,39.5,81.59988465521083,114900.0
GameMaker,129,10000.0,3.99,58.0,81.58844765342961,74250.0
Tactical RPG,727,10000.0,9.99,30.0,81.44313760565271,149900.0
RPGMaker,1024,10000.0,4.99,45.0,81.33333333333333,79900.0
World War II,257,10000.0,6.99,73.0,81.32080026137885,139650.0
Idler,952,10000.0,2.99,20.0,81.203007518797,39900.0
Mining,318,10000.0,7.99,30.5,81.18662246489859,119900.0
Trading Card Game,174,10000.0,4.99,35.5,81.15015974440894,74250.0
Hentai,605,10000.0,4.99,167.0,81.13782051282051,109900.0
Cinematic,1172,10000.0,5.99,26.0,81.07142857142857,99900.0
Driving,884,10000.0,4.99,29.0,80.98253763286417,79900.0
Farming Sim,520,10000.0,8.99,43.5,80.97840727035572,99900.0
Western,228,10000.0,5.99,24.0,80.97560975609757,84950.0
Strategy RPG,914,10000.0,7.99,31.0,80.9623430962343,142400.0
Farming,114,10000.0,9.99,75.5,80.91106290672451,134825.0
Loot,832,10000.0,7.99,34.0,80.8695652173913,99900.0
Experience,107,10000.0,4.99,52.0,80.85959885386819,69900.0
Dinosaurs,226,10000.0,5.49,30.5,80.7017543859649,99900.0
Hero Shooter,375,10000.0,4.99,12.0,80.67777777777778,49900.0
Demons,1162,10000.0,4.99,17.0,80.64516129032258,79900.0
Vampire,254,10000.0,4.995,28.5,80.62108810784785,99900.0
Mature,777,10000.0,4.99,152.0,80.52100608070756,119900.0
Fighting,622,10000.0,7.99,38.5,80.45131064987744,99900.0
Inventory Management,690,10000.0,6.99,22.0,80.32908906626125,99900.0
Mystery Dungeon,522,10000.0,4.99,13.0,80.32786885245902,69900.0
Team-Based,565,10000.0,7.99,25.0,80.32786885245902,99900.0
Tanks,232,10000.0,5.99,17.0,80.2540245163196,99900.0
Looter Shooter,322,10000.0,5.715,13.0,80.23255813953489,79900.0
Auto Battler,360,10000.0,4.99,27.0,80.10263929618768,69900.0
Dragons,362,10000.0,6.99,17.0,80.0,99900.0
Character Action Game,384,10000.0,5.99,27.0,79.95049504950495,79900.0
Political Sim,212,10000.0,6.99,50.0,79.88668555240793,103275.0
City Builder,886,10000.0,9.99,62.0,79.7979797979798,139900.0
Sailing,134,10000.0,8.99,36.5,79.7933191084542,99900.0
Colony Sim,461,10000.0,9.99,92.0,79.7858914179435,149900.0
Silent Protagonist,85,10000.0,4.99,36.0,79.78234101115457,99900.0
Match 3,599,10000.0,3.99,14.0,79.77960354720918,49900.0
Free to Play,204,10000.0,4.99,96.5,79.69072164948454,91450.0
Trading,298,10000.0,9.99,51.5,79.56030897207368,129900.0
Real Time Tactics,858,10000.0,6.99,20.0,79.53232213795594,89900.0
Military,896,10000.0,7.99,20.0,79.51341071545676,109900.0
War,1144,10000.0,5.99,22.0,79.48717948717949,99900.0
God Game,360,10000.0,5.99,32.0,79.468764249886,89900.0
Tower Defense,1238,10000.0,4.99,22.0,79.41176470588235,69900.0
Wargame,663,10000.0,6.99,21.0,79.27281052281052,99900.0
Naval,137,10000.0,9.99,45.0,78.8676236044657,104650.00000000001
Automobile Sim,585,10000.0,4.99,26.0,78.78787878787878,69900.0
Football (Soccer),126,10000.0,4.99,19.0,78.75,69900.0
RTS,900,10000.0,8.99,35.0,78.68852459016394,109900.0
Boxing,111,10000.0,6.99,13.0,78.4561771756996,79900.0
Economy,1015,10000.0,9.99,61.0,78.27843915343915,129900.0
Third-Person Shooter,989,10000.0,4.99,13.0,77.82082956360665,99900.0
Space Sim,537,10000.0,7.99,22.0,77.80457800016586,119900.0
3D Fighter,466,10000.0,4.99,10.0,77.54237288135593,59900.0
Grand Strategy,361,10000.0,9.99,41.0,77.39307535641548,139650.0
Offroad,122,10000.0,4.99,19.0,77.2513440860215,59900.0
Horses,108,10000.0,5.495,22.0,76.6985467643771,94900.0
3D Vision,429,10000.0,4.99,12.0,76.69452181987,89900.0
6DOF,355,10000.0,8.99,13.0,75.68355973528386,99900.0
Battle Royale,255,10000.0,4.99,13.0,75.37878787878788,69650.0
Outbreak Sim,121,10000.0,4.99,20.0,75.28089887640449,59900.0
Sniper,106,10000.0,4.99,17.5,75.20759193357058,74250.0
