tag,game_count,reliable_review_game_count,median_review_count,mean_review_count,median_positive_rate_30plus,median_recommendations,median_peak_ccu,mean_attention_score,free_share,median_price,median_release_year,game_share,competition_level
Sokoban,555,180,16.0,135.46666666666667,93.95245559038662,0.0,0.0,-0.15142266600709878,0.03963963963963964,3.99,2022.0,0.0061929523086879865,Medium
Cozy,548,330,48.0,744.8795620437957,93.20880894730773,0.0,1.0,0.48795933303002975,0.01824817518248175,4.99,2024.0,0.00611484300029012,Medium
Wholesome,419,255,55.0,727.1360381861575,92.40506329113924,0.0,0.0,0.41665073732546715,0.00954653937947494,4.99,2023.0,0.0046754000312437234,Medium
Electronic Music,97,31,15.0,307.11340206185565,90.24687065368568,0.0,0.0,-0.020684636478106463,0.07216494845360824,5.99,2022.0,0.0010823718449418645,Low
Faith,354,183,31.0,643.3870056497175,89.84375,0.0,0.0,0.17368669758138805,0.05649717514124294,4.99,2022.0,0.003950099310406392,Medium
LEGO,115,59,30.0,2789.8608695652174,89.27414128321452,0.0,0.0,0.6411099302167448,0.06086956521739131,5.99,2021.0,0.0012832243522506639,Low
Narrative,348,234,75.5,1362.462643678161,89.27111923485162,0.0,0.0,0.5100311112254539,0.05459770114942529,9.99,2023.0,0.0038831484746367916,Medium
Nostalgia,204,134,155.5,2894.357843137255,89.24266197700075,124.0,1.0,0.9372364468490175,0.058823529411764705,6.99,2021.0,0.002276328416166395,Low
Touch-Friendly,233,178,241.0,3700.5236051502147,89.10057333970377,133.0,0.0,0.8227848685409378,0.06437768240343347,4.99,2017.0,0.0025999241223861277,Medium
Programming,404,198,27.5,660.2673267326733,89.09053791977136,0.0,0.0,0.25137992761192435,0.06930693069306931,7.99,2021.0,0.004508022941819723,Medium
Foreign,200,92,20.0,698.245,88.93424036281179,0.0,0.0,0.21366616777938005,0.09,4.99,2022.0,0.0022316945256533284,Low
Philosophical,777,353,24.0,687.2471042471043,88.88888888888889,0.0,0.0,0.08782254098823063,0.09266409266409266,4.99,2022.0,0.008670133232163181,High
Time Attack,295,130,24.0,422.35593220338984,88.80705528390189,0.0,0.0,0.0677000335273644,0.05423728813559322,3.99,2021.0,0.0032917494253386598,Medium
Boomer Shooter,300,188,76.5,1465.04,88.54088522130533,0.0,0.0,0.49118237031775813,0.04666666666666667,9.99,2023.0,0.003347541788479993,Medium
Unforgiving,166,75,24.5,1234.5963855421687,88.46802113702624,0.0,0.0,0.12231670707750165,0.03614457831325301,4.99,2021.0,0.0018523064562922626,Low
Dark Comedy,776,410,34.5,899.2048969072165,88.12656641604009,0.0,0.0,0.2257526476528275,0.07603092783505154,4.99,2022.0,0.008658974759534916,High
Epic,111,94,1002.0,15739.855855855856,87.90894827232827,507.0,3.0,1.5135038255520719,0.04504504504504504,12.99,2018.0,0.0012385904617375973,Low
Parody,583,303,33.0,847.8404802744425,87.64344809180677,0.0,0.0,0.2112802421056035,0.0634648370497427,4.99,2022.0,0.0065053895422794526,Medium
Wrestling,79,50,59.0,881.6582278481013,87.40773723564712,0.0,0.0,0.46184257702794296,0.08860759493670886,9.99,2021.0,0.0008815193376330648,Low
Cult Classic,258,234,668.5,2739.5658914728683,87.31894553881807,455.0,2.0,1.2946445223004368,0.09302325581395349,9.99,2017.0,0.002878885938092794,Medium
Dog,462,220,23.0,712.8290043290043,87.19876614613457,0.0,0.0,0.15082645501659847,0.049783549783549784,4.99,2022.0,0.005155214354259189,Medium
Satire,461,242,32.0,1482.993492407809,87.1486413006844,0.0,0.0,0.20188783196711063,0.06941431670281996,4.99,2022.0,0.005144055881630923,Medium
Party Game,371,199,35.0,5048.433962264151,87.05882352941177,0.0,0.0,0.3666015445051232,0.09433962264150944,6.99,2022.0,0.004139793345086924,Medium
Word Game,723,340,23.0,380.13831258644535,86.90907727053406,0.0,0.0,0.13550846260426624,0.03319502074688797,3.99,2022.0,0.008067575710236783,High
Mouse only,498,294,43.0,1017.425702811245,86.77008675971331,0.0,0.0,0.28806320651269074,0.03614457831325301,2.99,2019.0,0.005556919368876788,Medium
Typing,330,121,13.0,370.73636363636365,86.69811320754717,0.0,0.0,0.027725239617529682,0.06060606060606061,3.99,2022.0,0.003682295967327992,Medium
Time Travel,397,198,29.0,2100.4433249370277,86.66666666666667,0.0,0.0,0.293056418187221,0.07304785894206549,6.99,2021.0,0.004429913633421857,Medium
Solitaire,650,180,13.0,144.96,86.64780275253733,0.0,0.0,-0.10851139349398484,0.04153846153846154,4.99,2022.0,0.007253007208373318,Medium
Crowdfunded,103,89,321.0,3628.0776699029125,86.56716417910447,201.0,1.0,1.0207122818289363,0.07766990291262135,10.49,2018.0,0.0011493226807114641,Low
Soundtrack,772,453,48.0,1861.3782383419689,86.52615732028603,0.0,0.0,0.38018418418853295,0.05699481865284974,7.890000000000001,2021.0,0.008614340869021849,High
Rhythm,933,419,23.0,1556.2958199356913,86.45418326693228,0.0,0.0,0.10461910755184965,0.06859592711682744,4.99,2021.0,0.010410854962172778,High
Minigames,324,144,21.5,3751.7283950617284,86.30495676531481,0.0,0.0,0.15253996245520354,0.08333333333333333,4.99,2021.0,0.0036153451315583925,Medium
Transhumanism,146,85,40.5,1338.4520547945206,86.11111111111111,0.0,0.0,0.3060747280882362,0.0958904109589041,6.995,2022.5,0.00162913700372693,Low
Snow,290,106,17.0,530.9275862068965,86.0702614379085,0.0,0.0,0.01671331933505488,0.04482758620689655,4.99,2022.0,0.0032359570621973265,Medium
Episodic,155,110,157.0,4858.245161290322,86.05816140318407,111.0,0.0,0.8081843039286133,0.16129032258064516,5.99,2019.0,0.0017295632573813297,Low
Asymmetric VR,116,47,17.5,347.37931034482756,85.9375,0.0,0.0,-0.032666682878595435,0.16379310344827586,9.99,2021.0,0.0012943828248789305,Low
Hacking,364,199,40.5,1496.0357142857142,85.84905660377359,0.0,0.0,0.41686383599809224,0.10164835164835165,7.88,2021.0,0.004061684036689058,Medium
Skateboarding,67,42,75.0,1110.0597014925372,85.84678576949406,0.0,0.0,0.4083099347953422,0.04477611940298507,8.99,2022.0,0.0007476176660938651,Low
Skating,62,32,34.5,1039.4032258064517,85.84678576949406,0.0,0.0,0.330651066452268,0.03225806451612903,8.49,2022.0,0.0006918253029525318,Low
Otome,395,237,52.0,279.84303797468357,85.84298584298584,0.0,0.0,0.2222392643568115,0.09113924050632911,7.99,2020.0,0.004407596688165324,Medium
Creature Collector,779,355,23.0,999.777920410783,85.71428571428571,0.0,0.0,0.18904119972425693,0.025673940949935817,4.99,2023.0,0.008692450177419715,High
Time Manipulation,516,211,20.0,925.6744186046511,85.60606060606061,0.0,0.0,0.0541450118586371,0.07751937984496124,5.965,2022.0,0.005757771876185588,Medium
Roguelike Deckbuilder,350,225,68.5,1795.777142857143,85.58052434456928,0.0,1.0,0.6425279959861966,0.014285714285714285,9.99,2023.0,0.003905465419893325,Medium
Addictive,367,239,67.0,3829.1117166212534,85.52631578947368,0.0,0.0,0.6323706162631596,0.05994550408719346,4.99,2019.0,0.004095159454573858,Medium
Superhero,292,151,34.0,3157.0102739726026,85.49019607843137,0.0,0.0,0.42899230398932264,0.0821917808219178,5.99,2021.0,0.00325827400745386,Medium
Noir,700,371,35.5,1228.422857142857,85.44061302681992,0.0,0.0,0.2639802928912328,0.06285714285714286,4.99,2022.0,0.00781093083978665,Medium
